id_leitura,id_sensor,id_peca,sensor_tipo,leitura_data_hora,tempo_uso,ciclos,temperatura,vibracao,falha,risco_falha
1,1,1,temperatura,2025-08-18 18:25:33.578802,0.5,0,52.63,2.312,0,baixo
2,1,1,temperatura,2025-08-18 18:55:33.578802,1.46,2,52.22,2.232,0,baixo
3,1,1,temperatura,2025-08-18 19:25:33.578802,2.25,3,52.51,1.978,0,baixo
4,1,1,temperatura,2025-08-18 19:55:33.578802,2.92,3,51.76,2.335,0,baixo
5,1,1,temperatura,2025-08-18 20:25:33.578802,3.25,4,53.81,1.793,0,baixo
6,1,1,temperatura,2025-08-18 20:55:33.578802,3.57,5,55.93,1.767,0,baixo
7,1,1,temperatura,2025-08-18 21:25:33.578802,3.82,7,53.38,2.291,0,baixo
8,1,1,temperatura,2025-08-18 21:55:33.578802,4.71,7,56.01,2.233,0,baixo
9,1,1,temperatura,2025-08-18 22:25:33.578802,5.39,7,58.84,1.983,0,baixo
10,1,1,temperatura,2025-08-18 22:55:33.578802,6.16,7,58.88,1.826,0,baixo
11,1,1,temperatura,2025-08-18 23:25:33.578802,6.38,7,61.36,2.478,0,baixo
12,1,1,temperatura,2025-08-18 23:55:33.578802,7.35,7,59.05,1.698,0,baixo
13,1,1,temperatura,2025-08-19 00:25:33.578802,8.22,7,57.85,1.991,0,baixo
14,1,1,temperatura,2025-08-19 00:55:33.578802,8.59,7,62.55,2.203,0,baixo
15,1,1,temperatura,2025-08-19 01:25:33.578802,8.93,8,63.85,2.605,0,baixo
16,1,1,temperatura,2025-08-19 01:55:33.578802,9.28,9,66.63,2.257,0,baixo
17,1,1,temperatura,2025-08-19 02:25:33.578802,9.72,10,67.2,2.291,0,baixo
18,1,1,temperatura,2025-08-19 02:55:33.578802,10.34,13,66.86,2.045,0,baixo
19,1,1,temperatura,2025-08-19 03:25:33.578802,10.89,13,68.0,2.338,0,baixo
20,1,1,temperatura,2025-08-19 03:55:33.578802,11.32,13,66.89,2.229,0,baixo
21,1,1,temperatura,2025-08-19 04:25:33.578802,12.01,16,65.55,1.823,0,baixo
